State,rateChange,AverageCost,status
Maine,-13.1,8280,
Maryland,-11.9,6376,"""Approved"""
New Hampshire,-11.5,7836,
Wyoming,-10,7224,
Virginia,-7.2,8832,
Wisconsin,-5.2,7008,
Pennsylvania,-3.3,6452,"""Approved"""
Washington,-3.2,5724,"""Approved"""
Alaska,-2,8209,
Illinois,-1.8,6204,
Hawaii,-1.7,6874,
South Carolina,-1.5,8088,"""Approved"""
Utah,-1.2,4836,
Delaware,-1,5784,"""Approved"""
Iowa,-0.2,7104,
Connecticut,0,7924,"""Approved"""
New Jersey,0,9816,
District of Columbia,0.2,7572,"""Approved"""
California,0.6,6926,"""Approved"""
Arizona,1.1,6193,
Idaho,1.2,9072,"""Approved"""
Michigan,1.3,6300,
Colorado,1.4,5352,"""Approved"""
Montana,1.4,6636,"""Approved"""
New York,1.8,7159,"""Approved"""
Minnesota,2,7872,"""Approved"""
Oregon,2.1,7405,"""Approved"""
South Dakota,2.6,6622,
Mississippi,2.7,7134,
Oklahoma,2.7,6216,"""Approved"""
Florida,3.1,5700,"""Approved"""
Ohio,3.2,7625,
Arkansas,3.4,7632,"""Approved"""
Vermont,3.5,6800,"""Approved"""
North Carolina,4,7716,
Rhode Island,4.2,5004,"""Approved"""
Missouri,4.7,5184,
Georgia,4.8,7320,"""Approved"""
West Virginia,4.8,5423,
Nevada,4.9,7723,"""Approved"""
Kentucky,5,11484,"""Approved"""
Tennessee,5,7644,
Alabama,5.1,6336,"""Approved"""
Nebraska,5.4,5004,
Louisiana,6.9,7536,
Massachusetts,7,7596,
North Dakota,7.4,7608,
Texas,7.4,5338,
Kansas,7.8,7068,
New Mexico,9.9,6084,
Indiana,10.2,11808,
