State,rateChange
Alabama,5.10
Alaska,0
Arizona,1.10
Arkansas,7
California,0.60
Colorado,2.20
Connecticut,0  
Delaware,-0.50
District of Columbia,
Florida,1.80
Georgia,4.8  
Hawaii,-1.70
Idaho,1.20
Illinois,0
Indiana,10.20
Iowa,0
Kansas,0
Kentucky,11.60
Louisiana,0
Maine,-13.10
Maryland,0
Massachusetts,0
Michigan,1.30
Minnesota,3
Mississippi,0
Missouri,4.70
Montana,1.4  
Nebraska,5.40
Nevada,6.30
New Hampshire,11.50
New Jersey,0
New Mexico,9.90
New York,1.8  
North Carolina,4
North Dakota,
Ohio,3.20
Oklahoma,2.70
Oregon,0
Pennsylvania,-2.60
Rhode Island,5
South Carolina,
South Dakota,
Tennessee,5
Texas,0
Utah,0
Vermont,3.5 
Virginia,-7.2
Washington,0
West Virginia,0
Wisconsin,-5.20
Wyoming,0
