State,Cost,Quality,Access,ScoreRank,StateRank
Connecticut,19.11,27.28,30.47,76.86,1
Minnesota,21.89,23.52,28.08,73.48,2
District of Columbia,16.82,21.72,33.08,71.63,3
New Mexico,20.58,19.76,29.16,69.51,4
New York,24.34,24.66,26.99,75.99,5
California,20.42,26.62,27.75,74.79,6
Massachusetts,21.72,26.46,26.55,74.74,7
Colorado,14.37,21.40,26.01,61.78,8
Vermont,21.56,20.91,26.88,69.35,9
Virginia,10.13,17.15,21.44,48.71,10
Iowa,14.54,12.41,22.31,49.26,11
Washington,16.66,25.48,22.96,65.10,12
Maryland,17.80,20.91,23.94,62.65,13
Ohio,22.70,10.62,24.38,57.70,14
Illinois,18.46,19.27,20.46,58.19,15
Arkansas,19.27,13.72,28.40,61.40,16
Delaware,17.31,19.27,25.14,61.72,17
Hawaii,14.05,27.44,22.64,64.12,18
Maine,22.21,10.13,27.10,59.44,19
New Jersey,15.35,18.13,21.22,54.70,20
Pennsylvania,22.87,18.29,20.35,61.51,21
New Hampshire,17.64,21.72,10.88,50.25,22
Oregon,16.66,25.97,14.47,57.10,23
Florida,16.50,19.76,12.62,48.88,24
Michigan,18.78,17.31,13.82,49.92,25
Alaska,16.82,15.35,14.69,46.87,26
Rhode Island,22.05,23.52,17.41,62.98,27
Kentucky,20.58,15.52,18.61,54.71,28
West Virginia,17.97,17.97,22.64,58.57,29
Missouri,21.40,5.23,10.12,36.74,30
Indiana,20.58,9.96,13.49,44.04,31
Nevada,12.90,19.44,13.17,45.51,32
North Carolina,16.17,10.13,18.17,44.47,33
Louisiana,20.42,13.56,17.74,51.71,34
Utah,9.47,20.91,9.03,39.41,35
Wisconsin,13.88,14.05,21.44,49.37,36
Arizona,18.46,13.56,11.75,43.77,37
Nebraska,10.45,8.66,18.39,37.50,38
Montana,14.70,14.21,12.62,41.53,39
Georgia,10.62,8.82,9.03,28.47,40
Alabama,13.23,15.19,7.29,35.71,41
Texas,16.50,9.15,10.23,35.87,42
South Carolina,14.37,6.04,19.37,39.79,43
Idaho,13.88,9.31,8.27,31.46,44
North Dakota,13.56,17.97,4.90,36.42,45
Kansas,11.92,12.09,4.90,28.91,46
Tennessee,20.25,10.29,6.86,37.40,47
Mississippi,17.80,9.96,8.38,36.15,48
South Dakota,10.78,8.98,6.75,26.51,49
Wyoming,10.78,12.74,8.27,31.79,50
Oklahoma,14.86,2.94,9.58,27.38,51
