State,Average employee contribution,Average employer premium,Average ACA premium after APTC,Average ACA premium,Employee contribution minus ACA premium after APTC,Employer premium minus ACA premium
Alabama,1676,6393,1560,8292,116,-1899
Alaska,1334,8635,2244,8868,-910,-233
Arizona,1554,6612,2640,7068,-1086,-456
Arkansas,1470,6414,2364,6264,-894,150
California,1242,7173,2220,6828,-978,345
Colorado,1673,7206,2460,5736,-787,1470
Connecticut,1740,7501,2928,8208,-1188,-707
Delaware,1803,7280,2304,8016,-501,-736
District of Columbia,1580,7558,6060,6408,-4480,1150
Florida,1811,7078,1176,7164,635,-86
Georgia,1530,6876,1596,6792,-66,84
Hawaii,852,7040,2676,7584,-1824,-544
Idaho,1151,6744,,,,
Illinois,1659,7376,2688,7632,-1029,-256
Indiana,1627,7319,3240,6528,-1613,791
Iowa,1709,6932,1332,9876,377,-2944
Kansas,1541,6675,2052,7656,-511,-981
Kentucky,1535,6949,2220,7128,-685,-179
Louisiana,1666,6713,2280,8124,-614,-1411
Maine,1550,7496,2112,7704,-562,-208
Maryland,1603,7352,2136,5976,-533,1376
Massachusetts,1558,7452,2376,4776,-818,2676
Michigan,1440,6683,2112,5760,-672,923
Minnesota,1499,6910,3420,5328,-1921,1582
Mississippi,1566,6561,984,7296,582,-735
Missouri,1611,7179,1896,7608,-285,-429
Montana,1168,6860,2076,6864,-908,-4
Nebraska,1738,7611,1284,9180,454,-1569
Nevada,1658,6493,,,,
New Hampshire,1681,7991,2856,6348,-1175,1643
New Jersey,1855,7373,2892,6648,-1037,725
New Mexico,1560,7424,2340,5712,-780,1712
New York,1684,8177,2712,7716,-1028,461
North Carolina,1653,7036,1392,7920,261,-884
North Dakota,1257,7216,2208,5436,-951,1780
Ohio,1583,6989,2760,6264,-1177,725
Oklahoma,1462,7058,1296,7728,166,-670
Oregon,1140,6917,2772,6696,-1632,221
Pennsylvania,1368,7246,2556,7776,-1188,-530
Rhode Island,1531,7326,2160,5220,-629,2106
South Carolina,1895,7516,1488,7356,407,160
South Dakota,1508,7070,1632,8244,-124,-1174
Tennessee,1550,6485,1740,7692,-190,-1207
Texas,1497,7017,1380,6384,117,633
Utah,1461,6593,2316,5100,-855,1493
Vermont,1810,7868,5376,12408,-3566,-4540
Virginia,1679,6928,2088,7692,-409,-764
Washington,1135,7440,3396,6336,-2261,1104
West Virginia,1546,6993,3420,11904,-1874,-4911
Wisconsin,1581,7250,2076,7884,-495,-634
Wyoming,1354,7743,1536,11604,-182,-3861
