Year,"Total National Health Expenditures, in Billions",Constant 2020 Dollars
1970,74.1,394.0
1971,82.4,420.3
1972,92.4,455.8
1973,102.7,480.6
1974,116.3,493.4
1975,132.7,519.3
1976,152.0,564.1
1977,172.7,601.5
1978,194.0,631.8
1979,219.7,657.2
1980,253.2,683.9
1981,293.6,727.7
1982,330.9,777.2
1983,364.8,821.7
1984,401.9,872.3
1985,439.9,922.6
1986,472.3,969.5
1987,514.5,1024.5
1988,576.6,1105.1
1989,642.2,1179.2
1990,718.8,1264.4
1991,786.1,1338.0
1992,852.4,1413.2
1993,915.1,1480.3
1994,966.7,1531.8
1995,1020.6,1583.9
1996,1074.0,1631.8
1997,1133.4,1692.6
1998,1198.9,1776.4
1999,1273.7,1860.0
2000,1365.7,1945.2
2001,1483.1,2070.8
2002,1630.6,2247.3
2003,1769.9,2389.1
2004,1894.1,2494.9
2005,2025.9,2593.7
2006,2164.4,2695.1
2007,2305.0,2798.4
2008,2402.0,2832.4
2009,2492.5,2947.3
2010,2589.4,3008.0
2011,2676.2,3032.1
2012,2782.8,3095.2
2013,2855.8,3134.0
2014,3001.4,3244.7
2015,3163.6,3412.4
2016,3305.6,3530.2
2017,3446.5,3614.6
2018,3604.5,3701.2
2019,3759.1,3803.7
2020,4124.0,4124.0
