date,cases
4/1/20,32243
4/2/20,32235
4/3/20,32287
4/4/20,32416
4/5/20,29877
4/6/20,31381
4/7/20,30767
4/8/20,31192
4/9/20,35941
4/10/20,34415
4/11/20,29130
4/12/20,27255
4/13/20,26930
4/14/20,28781
4/15/20,25440
4/16/20,30035
4/17/20,33030
4/18/20,27932
4/19/20,26096
4/20/20,29828
4/21/20,25917
4/22/20,28859
4/23/20,33570
4/24/20,32327
4/25/20,30396
4/26/20,26501
4/27/20,23703
4/28/20,24577
4/29/20,26438
4/30/20,29220
5/1/20,34926
5/2/20,27350
5/3/20,24297
5/4/20,24085
5/5/20,24531
5/6/20,24559
5/7/20,27412
5/8/20,26839
5/9/20,25136
5/10/20,18867
5/11/20,19271
5/12/20,22948
5/13/20,20408
5/14/20,26818
5/15/20,24747
5/16/20,24159
5/17/20,18363
5/18/20,22390
5/19/20,21007
5/20/20,22697
5/21/20,25766
5/22/20,23656
5/23/20,21112
5/24/20,20067
5/25/20,18673
5/26/20,19650
5/27/20,18549
5/28/20,22322
5/29/20,24473
5/30/20,23633
5/31/20,18987
6/1/20,17435
6/2/20,21503
6/3/20,19845
6/4/20,21649
6/5/20,25400
6/6/20,21160
6/7/20,17916
6/8/20,17637
6/9/20,18384
6/10/20,21110
6/11/20,23133
6/12/20,24866
6/13/20,25208
6/14/20,18948
6/15/20,19819
6/16/20,23670
6/17/20,27064
6/18/20,28525
6/19/20,31563
6/20/20,32270
6/21/20,25148
6/22/20,32150
6/23/20,37077
6/24/20,35874
6/25/20,40319
6/26/20,45993
6/27/20,41346
6/28/20,40731
6/29/20,41282
6/30/20,46431
7/1/20,51819
7/2/20,56628
7/3/20,51360
7/4/20,45682
7/5/20,50769
7/6/20,43084
7/7/20,60654
7/8/20,60120
7/9/20,62496
7/10/20,68055
7/11/20,60018
7/12/20,58453
7/13/20,58894
7/14/20,68035
7/15/20,68121
7/16/20,75819
7/17/20,72262
7/18/20,62537
7/19/20,60474
7/20/20,62091
7/21/20,64511
7/22/20,70571
7/23/20,68442
7/24/20,73322
7/25/20,64916
7/26/20,54867
7/27/20,56757
7/28/20,66459
7/29/20,71854
7/30/20,67455
7/31/20,68721
8/1/20,56182
8/2/20,45548
8/3/20,45529
8/4/20,58801
8/5/20,54456
8/6/20,59358
8/7/20,59295
8/8/20,54121
8/9/20,45751
8/10/20,47627
8/11/20,47995
8/12/20,56055
8/13/20,51314
8/14/20,65340
8/15/20,46918
8/16/20,39195
8/17/20,36675
8/18/20,45034
8/19/20,47359
8/20/20,43843
8/21/20,48747
8/22/20,43067
8/23/20,34264
8/24/20,36654
8/25/20,40168
8/26/20,45359
8/27/20,45230
8/28/20,46983
8/29/20,42695
8/30/20,34400
8/31/20,35513
9/1/20,41729
9/2/20,41005
9/3/20,44192
9/4/20,50460
9/5/20,43001
9/6/20,31311
9/7/20,23508
9/8/20,27469
9/9/20,33911
9/10/20,36173
9/11/20,47724
9/12/20,41126
9/13/20,34297
9/14/20,34426
9/15/20,39556
9/16/20,38924
9/17/20,45225
9/18/20,49243
9/19/20,42154
9/20/20,38404
9/21/20,52039
9/22/20,39850
9/23/20,39072
9/24/20,47103
9/25/20,48275
9/26/20,44649
9/27/20,37544
9/28/20,33255
9/29/20,43420
9/30/20,39431
10/1/20,45654
10/2/20,54858
10/3/20,48595
10/4/20,35767
10/5/20,39466
10/6/20,45200
10/7/20,51081
10/8/20,58593
10/9/20,56358
10/10/20,54959
10/11/20,45902
10/12/20,41873
10/13/20,52235
10/14/20,59777
10/15/20,64860
10/16/20,69169
10/17/20,56711
10/18/20,49351
10/19/20,67775
10/20/20,61966
10/21/20,63257
10/22/20,76342
10/23/20,81881
10/24/20,82794
10/25/20,62113
10/26/20,67422
10/27/20,76793
10/28/20,79416
10/29/20,91095
10/30/20,99130
10/31/20,89774
11/1/20,104924
11/2/20,85306
11/3/20,127115
11/4/20,104607
11/5/20,129354
11/6/20,128000
11/7/20,127311
11/8/20,115216
11/9/20,120572
11/10/20,140498
11/11/20,146626
11/12/20,164833
11/13/20,180389
11/14/20,167765
11/15/20,136221
11/16/20,162942
11/17/20,163922
11/18/20,173178
11/19/20,191543
11/20/20,198299
11/21/20,179273
11/22/20,146778
11/23/20,174450
11/24/20,175517
11/25/20,183287
11/26/20,112323
11/27/20,208187
11/28/20,155530
11/29/20,140235
11/30/20,160570
12/1/20,188217
12/2/20,202555
12/3/20,223610
12/4/20,232785
12/5/20,215546
12/6/20,181011
12/7/20,194861
12/8/20,224490
12/9/20,222535
12/10/20,231516
12/11/20,239976
12/12/20,217385
12/13/20,187804
12/14/20,193712
12/15/20,210104
12/16/20,246644
12/17/20,239678
12/18/20,251935
12/19/20,191894
12/20/20,187746
12/21/20,199099
12/22/20,198067
12/23/20,229561
12/24/20,194166
12/25/20,97615
12/26/20,226303
12/27/20,155634
12/28/20,174651
12/29/20,200191
12/30/20,233634
12/31/20,235565
1/1/21,153510
1/2/21,300416
1/3/21,208741
1/4/21,184299
1/5/21,235048
1/6/21,255389
1/7/21,278065
1/8/21,293247
1/9/21,262657
1/10/21,213268
1/11/21,214982
1/12/21,226954
1/13/21,230349
1/14/21,235614
1/15/21,242748
1/16/21,201639
1/17/21,177793
1/18/21,143391
1/19/21,176738
1/20/21,183204
1/21/21,193750
1/22/21,190677
1/23/21,170622
1/24/21,131031
1/25/21,151969
1/26/21,147570
1/27/21,153239
1/28/21,169260
1/29/21,166494
1/30/21,142322
1/31/21,112019
2/1/21,135173
2/2/21,115333
2/3/21,121611
2/4/21,123924
2/5/21,134362
2/6/21,103987
2/7/21,89659
2/8/21,90343
2/9/21,95620
2/10/21,95139
2/11/21,105697
2/12/21,99609
2/13/21,87119
2/14/21,65020
2/15/21,54194
2/16/21,62724
2/17/21,70104
2/18/21,69556
2/19/21,79595
2/20/21,71514
2/21/21,57051
2/22/21,56223
2/23/21,72255
2/24/21,74700
2/25/21,77495
2/26/21,76929
2/27/21,64393
2/28/21,51239
3/1/21,58912
