age,m_death_probability,m_num_lives,m_life_expectancy,f_death_probability,f_num_lives,f_life_expectancy
0,0.006081,100000.00,76.22,0.005046,100000.00,81.28
1,0.000425,99392.00,75.69,0.000349,99495.00,80.69
2,0.00026,99350.00,74.72,0.000212,99461.00,79.72
3,0.000194,99324.00,73.74,0.000166,99440.00,78.73
4,0.000154,99305.00,72.76,0.000137,99423.00,77.75
5,0.000142,99289.00,71.77,0.000122,99409.00,76.76
6,0.000135,99275.00,70.78,0.000111,99397.00,75.77
7,0.000127,99262.00,69.79,0.000103,99386.00,74.77
8,0.000116,99249.00,68.79,0.000098,99376.00,73.78
9,0.000104,99238.00,67.8,0.000095,99366.00,72.79
10,0.000097,99227.00,66.81,0.000095,99357.00,71.8
11,0.000106,99218.00,65.82,0.000102,99348.00,70.8
12,0.000144,99207.00,64.82,0.000116,99337.00,69.81
13,0.00022,99193.00,63.83,0.000139,99326.00,68.82
14,0.000323,99171.00,62.85,0.00017,99312.00,67.83
15,0.000437,99139.00,61.87,0.000204,99295.00,66.84
16,0.000552,99096.00,60.89,0.00024,99275.00,65.85
17,0.000675,99041.00,59.93,0.000278,99251.00,64.87
18,0.000806,98974.00,58.97,0.000319,99224.00,63.89
19,0.000939,98894.00,58.01,0.00036,99192.00,62.91
20,0.001079,98802.00,57.07,0.000405,99156.00,61.93
21,0.001215,98695.00,56.13,0.000451,99116.00,60.95
22,0.001327,98575.00,55.2,0.000491,99071.00,59.98
23,0.001406,98444.00,54.27,0.000523,99023.00,59.01
24,0.001461,98306.00,53.35,0.000549,98971.00,58.04
25,0.001507,98162.00,52.42,0.000574,98917.00,57.07
26,0.001557,98014.00,51.5,0.000604,98860.00,56.11
27,0.00161,97862.00,50.58,0.000642,98800.00,55.14
28,0.001668,97704.00,49.66,0.00069,98737.00,54.17
29,0.001732,97541.00,48.74,0.000748,98669.00,53.21
30,0.001795,97372.00,47.83,0.00081,98595.00,52.25
31,0.001858,97198.00,46.91,0.000871,98515.00,51.29
32,0.001923,97017.00,46,0.000931,98429.00,50.34
33,0.001992,96830.00,45.09,0.000988,98337.00,49.38
34,0.002064,96638.00,44.18,0.001044,98240.00,48.43
35,0.002145,96438.00,43.27,0.001105,98138.00,47.48
36,0.002231,96231.00,42.36,0.001171,98029.00,46.53
37,0.002316,96017.00,41.45,0.001235,97914.00,45.59
38,0.002398,95794.00,40.55,0.001295,97793.00,44.64
39,0.002482,95564.00,39.64,0.001356,97667.00,43.7
40,0.00258,95327.00,38.74,0.001422,97534.00,42.76
41,0.002697,95081.00,37.84,0.001501,97396.00,41.82
42,0.002828,94825.00,36.94,0.001596,97249.00,40.88
43,0.002976,94557.00,36.04,0.001709,97094.00,39.95
44,0.003146,94275.00,35.15,0.001841,96928.00,39.01
45,0.00334,93979.00,34.26,0.001989,96750.00,38.08
46,0.003567,93665.00,33.37,0.002153,96557.00,37.16
47,0.003833,93331.00,32.49,0.002333,96350.00,36.24
48,0.004143,92973.00,31.61,0.00253,96125.00,35.32
49,0.004499,92588.00,30.74,0.002746,95882.00,34.41
50,0.00489,92171.00,29.88,0.002981,95618.00,33.5
51,0.005321,91720.00,29.02,0.003241,95333.00,32.6
52,0.00581,91232.00,28.18,0.00353,95024.00,31.71
53,0.006363,90702.00,27.34,0.003853,94689.00,30.82
54,0.006973,90125.00,26.51,0.004208,94324.00,29.93
55,0.007629,89497.00,25.69,0.004591,93927.00,29.06
56,0.008322,88814.00,24.89,0.004997,93496.00,28.19
57,0.009049,88075.00,24.09,0.005426,93029.00,27.33
58,0.009806,87278.00,23.31,0.005876,92524.00,26.48
59,0.010595,86422.00,22.53,0.006348,91980.00,25.63
60,0.011452,85506.00,21.77,0.006883,91396.00,24.79
61,0.012358,84527.00,21.01,0.007457,90767.00,23.96
62,0.013255,83482.00,20.27,0.00801,90090.00,23.14
