Country,Life_expectancy_1970,Life_expectancy_2015,Population_1970,Population_2015,Income_1970,Income_2015
China,59.085,76.092,827601024,1406848000,1394,12009
Brazil,59.154,75.284,95113000,204472000,3374,14272
India,47.721,68.302,555190016,1310151936,1272,5722
Bangladesh,47.342,72.252,64232000,156256000,1432,3113
Indonesia,54.537,69.025,114793000,258383008,1205,9781
Japan,71.95,83.793,104929000,127985000,11876,38875
Nigeria,40.97,52.985,55982000,181136992,4588,4965
Pakistan,52.837,66.322,58142000,199427008,1816,4815
Russia,71.168,68.133,130149000,144984992,2707,22832
United States,70.807,78.69,209512992,320878016,23285,53533
