Respondent,Response
1,2020
2,2020
3,2020
4,2020
5,2020
6,2020
7,2020
8,2020
9,2020
10,2020
11,2020
12,2020
13,2020
14,2020
15,2020
16,2020
17,2020
18,2020
19,2020
20,2020
21,2020
22,2020
23,2020
24,2020
25,2020
26,2020
27,2020
28,2020
29,2020
30,2020
31,2020
32,2020
33,2020
34,2020
35,2020
36,2020
37,2020
38,2020
39,2020
40,2020
41,2020
42,2020
43,2020
44,2020
45,2020
46,2020
47,2020
48,2020
49,2020
50,2020
51,2020
52,2020
53,2020
54,2020
55,2020
56,2020
57,2020
58,2020
59,2020
60,2020
61,2020
62,2021
63,2021
64,2021
65,2021
66,2021
67,2021
68,2021
69,2021
70,2021
71,2021
72,2021
73,2021
74,2021
75,2021
76,2021
77,2021
78,2021
79,2021
80,2021
81,2021
82,2021
83,2021
84,2021
85,2021
86,2021
87,2021
88,2021
89,2021
90,2021
91,2021
92,2021
93,2021
94,2021
95,2021
96,2021
97,2021
98,2021
99,2021
100,2021
101,2021
