Respondent,Response
13093165170,Don’t know / Unsure
13093155870,Don’t know / Unsure
13093147784,Don’t know / Unsure
13093134109,Don’t know / Unsure
13092837961,Don’t know / Unsure
13092662541,Don’t know / Unsure
13092617430,Don’t know / Unsure
13092615048,Don’t know / Unsure
13092538402,Don’t know / Unsure
13092410666,Don’t know / Unsure
13092338009,Don’t know / Unsure
13092315004,Don’t know / Unsure
13092311746,Don’t know / Unsure
13092311248,Don’t know / Unsure
13092309723,Don’t know / Unsure
13092304788,Don’t know / Unsure
13092273951,Don’t know / Unsure
13092270506,Don’t know / Unsure
13092265813,Don’t know / Unsure
13092255556,Don’t know / Unsure
13092242180,Don’t know / Unsure
13092238748,Don’t know / Unsure
13092215531,Don’t know / Unsure
13092213839,Don’t know / Unsure
13092212595,Don’t know / Unsure
13092209677,Don’t know / Unsure
13092176008,Don’t know / Unsure
13092160866,Don’t know / Unsure
13092158896,Don’t know / Unsure
13092153317,Don’t know / Unsure
13092097120,Don’t know / Unsure
13092095678,Don’t know / Unsure
13092063335,Don’t know / Unsure
13092054943,Don’t know / Unsure
13092054762,Don’t know / Unsure
13092053283,Don’t know / Unsure
13092052233,Don’t know / Unsure
13092051216,Don’t know / Unsure
13092050286,Don’t know / Unsure
13092050105,Don’t know / Unsure
13092046124,Don’t know / Unsure
13092045586,Don’t know / Unsure
13092042377,Don’t know / Unsure
13092039153,Don’t know / Unsure
13092038229,Don’t know / Unsure
13092035441,Don’t know / Unsure
13092033303,Don’t know / Unsure
13092030863,Don’t know / Unsure
13092014560,Don’t know / Unsure
13092012046,Don’t know / Unsure
13092010041,Don’t know / Unsure
13092005535,Don’t know / Unsure
13092004294,Don’t know / Unsure
13092001445,Don’t know / Unsure
13092001028,Don’t know / Unsure
13091996573,Don’t know / Unsure
13091964226,Don’t know / Unsure
13091956906,Don’t know / Unsure
13091948412,Don’t know / Unsure
13091930176,Don’t know / Unsure
13091923401,Don’t know / Unsure
13091910059,Don’t know / Unsure
13091908217,Don’t know / Unsure
13091891085,Don’t know / Unsure
13091888865,Don’t know / Unsure
13091884561,Don’t know / Unsure
13091881340,Don’t know / Unsure
13091875989,Don’t know / Unsure
13091859270,Don’t know / Unsure
13091851942,Don’t know / Unsure
13091848939,Don’t know / Unsure
13091847959,Don’t know / Unsure
13091846659,Don’t know / Unsure
13091846306,Don’t know / Unsure
13091830882,Don’t know / Unsure
13091819122,Don’t know / Unsure
13091808682,Don’t know / Unsure
13091801827,Don’t know / Unsure
13091783155,Don’t know / Unsure
13091777463,Don’t know / Unsure
13091762738,Don’t know / Unsure
13091743874,Don’t know / Unsure
13091741067,Don’t know / Unsure
13091723690,Don’t know / Unsure
13091712345,Don’t know / Unsure
13091706998,Don’t know / Unsure
13091701779,Don’t know / Unsure
13091690375,Don’t know / Unsure
13091687596,Don’t know / Unsure
13091665153,Don’t know / Unsure
13091661785,Don’t know / Unsure
13091655919,Don’t know / Unsure
13091625102,Don’t know / Unsure
13091624430,Don’t know / Unsure
13091614314,Don’t know / Unsure
13091608577,Don’t know / Unsure
13091603441,Don’t know / Unsure
13091589464,Don’t know / Unsure
13091578914,Don’t know / Unsure
13091562616,Don’t know / Unsure
13091550648,Don’t know / Unsure
13091538701,Don’t know / Unsure
13087031990,Don’t know / Unsure
13086981216,Don’t know / Unsure
13086971608,Don’t know / Unsure
13086956700,Don’t know / Unsure
13086951605,Don’t know / Unsure
13086837601,Don’t know / Unsure
13086816888,Don’t know / Unsure
13086756057,Don’t know / Unsure
13086723621,Don’t know / Unsure
13086712206,Don’t know / Unsure
13086688978,Don’t know / Unsure
13086681346,Don’t know / Unsure
13086678076,Don’t know / Unsure
13086674463,Don’t know / Unsure
13086673037,Don’t know / Unsure
13086672152,Don’t know / Unsure
13086669093,Don’t know / Unsure
13086663041,Don’t know / Unsure
13086659434,Don’t know / Unsure
13086661371,Don’t know / Unsure
13086659162,Don’t know / Unsure
13086656854,Don’t know / Unsure
13086655234,Don’t know / Unsure
13086654276,Don’t know / Unsure
13086651498,Don’t know / Unsure
13086646409,Don’t know / Unsure
13086636951,Don’t know / Unsure
13086612655,Don’t know / Unsure
13086591666,Don’t know / Unsure
13086582573,Don’t know / Unsure
13086581218,Don’t know / Unsure
13086579562,Don’t know / Unsure
13086577417,Don’t know / Unsure
13086576802,Don’t know / Unsure
13086571580,Don’t know / Unsure
13086554803,Don’t know / Unsure
13086552321,Don’t know / Unsure
13086546154,Don’t know / Unsure
13086541165,Don’t know / Unsure
13086536174,Don’t know / Unsure
13086508202,Don’t know / Unsure
13086507518,Don’t know / Unsure
13086494387,Don’t know / Unsure
13086495156,Don’t know / Unsure
13086486691,Don’t know / Unsure
13086475996,Don’t know / Unsure
13086469701,Don’t know / Unsure
13086464986,Don’t know / Unsure
13086457630,Don’t know / Unsure
13086456634,Don’t know / Unsure
13086450818,Don’t know / Unsure
13086445857,Don’t know / Unsure
13086420270,Don’t know / Unsure
13086423330,Don’t know / Unsure
13086423275,Don’t know / Unsure
13086421361,Don’t know / Unsure
13086417696,Don’t know / Unsure
13086411437,Don’t know / Unsure
13086404104,Don’t know / Unsure
13086397970,Don’t know / Unsure
13086361830,Don’t know / Unsure
13086353304,Don’t know / Unsure
