source,city,lat1,long1,lat2,long2
usa,USA,39.833333, -98.583333,39.833333, -98.583333
usa,Bangkok,39.833333, -98.583333,13.756331,100.501762
usa,Cancun,39.833333, -98.583334,21.161907,-86.851524
usa,Escazu,39.833333, -98.583335,9.91887,-84.13989
usa,Guadalajara,39.833333, -98.583336,20.659698,-103.349609
usa,Istanbul,39.833333, -98.583337,41.015137,28.97953
usa,Juarez,39.833333, -98.583338,34.0928092,-118.3286614
usa,Los Algodones,39.833333, -98.583339,32.713466,-114.733917
usa,Merida,39.833333, -98.583340,20.96737,-89.592586
usa,Mexicali,39.833333, -98.583341,32.663334,-115.467781
usa,Mexico City,39.833333, -98.583342,19.432608,-99.133209
usa,Nogales,39.833333, -98.583343,18.8346283,-97.2017278
usa,Nuevo Laredo,39.833333, -98.583344,27.477936,-99.549573
usa,Pasay,39.833333, -98.583345,14.543945,120.993905
usa,Phuket,39.833333, -98.583346,7.878978,98.398392
usa,Playa del Carmen,39.833333, -98.583347,20.6295586,-87.0738851
usa,Puerto Vallarta,39.833333, -98.583348,20.653406,-105.225334
usa,San Jose,39.833333, -98.583349,9.928069,-84.090729
usa,Tijuana,39.833333, -98.583350,32.514946,-117.038246
usa,Kuta,39.833333, -98.583351,-8.722396,115.176712
usa,Patong,39.833333, -98.583352,16.49679,105.478249
usa,Chiang Mai,39.833333, -98.583353,18.706064,98.981712
usa,Denpasar,39.833333, -98.583354,-8.670458,115.212631
usa,Ho Chi Minh City,39.833333, -98.583355,10.823099,106.629662
usa,Manila,39.833333, -98.583356,14.556586,121.023415
usa,Johor Bahru,39.833333, -98.583357,1.527549,103.745476
usa,Seoul,39.833333, -98.583358,37.5326,127.024612
usa,Taguig City,39.833333, -98.583359,14.520445,121.053886
usa,Nusa Dua,39.833333, -98.583360,-8.801612,115.223981
usa,Bogota,39.833333, -98.583361,4.653465,-74.083645
usa,Pattaya,39.833333, -98.583362,12.936667,100.886459
usa,Cartagena,39.833333, -98.583363,10.419584,-75.527122
usa,Barranquilla,39.833333, -98.583364,10.981076,-74.798883
usa,Izmir,39.833333, -98.583365,38.422455,27.13107
usa,Davao City,39.833333, -98.583366,7.064831,125.608062
