"State","Consumers","Bronze","Silver","Gold","Year"
"Alaska"," 19,145 "," 9,677 "," 9,073 "," 395 ","2017"
"Alabama"," 178,414 "," 14,965 "," 155,500 "," 4,957 ","2017"
"Arkansas"," 70,404 "," 13,823 "," 51,455 "," 4,424 ","2017"
"Arizona"," 196,291 "," 43,511 "," 139,302 "," 11,837 ","2017"
"California"," 1,556,676 "," 431,675 "," 981,865 "," 75,965 ","2017"
"Colorado"," 161,568 "," 78,682 "," 71,592 "," 9,083 ","2017"
"Connecticut"," 111,542 "," 28,185 "," 71,280 "," 10,125 ","2017"
"District of Columbia"," 21,248 "," 6,790 "," 6,389 "," 3,691 ","2017"
"Delaware"," 27,584 "," 7,648 "," 17,229 "," 2,506 ","2017"
"Florida"," 1,760,025 "," 299,465 "," 1,409,204 "," 33,765 ","2017"
"Georgia"," 493,880 "," 75,066 "," 403,004 "," 7,937 ","2017"
"Hawaii"," 18,938 "," 3,452 "," 13,544 "," 1,146 ","2017"
"Iowa"," 51,573 "," 14,453 "," 36,047 "," NA ","2017"
"Idaho"," 100,082 "," 25,280 "," 69,622 "," 4,196 ","2017"
"Illinois"," 356,403 "," 113,630 "," 229,360 "," 12,510 ","2017"
"Indiana"," 174,611 "," 43,706 "," 122,793 "," 7,687 ","2017"
"Kansas"," 98,780 "," 25,412 "," 64,735 "," 7,816 ","2017"
"Kentucky"," 81,155 "," 17,974 "," 57,681 "," 4,657 ","2017"
"Louisiana"," 143,577 "," 34,356 "," 101,878 "," 5,056 ","2017"
"Massachusetts  "," 266,664 "," 5,856 "," 245,585 "," 10,253 ","2017"
"Maryland"," 157,832 "," 30,984 "," 114,129 "," 7,384 ","2017"
"Maine"," 79,407 "," 21,506 "," 55,084 "," 1,778 ","2017"
"Michigan"," 321,451 "," 98,458 "," 208,110 "," 10,978 ","2017"
"Minnesota"," 109,974 "," 61,763 "," 35,561 "," 11,066 ","2017"
"Missouri"," 244,382 "," 73,606 "," 165,522 "," 3,642 ","2017"
"Mississippi"," 88,483 "," 10,027 "," 76,989 "," 947 ","2017"
"Montana"," 52,473 "," 22,924 "," 27,505 "," 1,503 ","2017"
