id,name,origin,gender
6,Olivia,English,female
18,Madison,English,male
34,Addison,English,female
38,Harper,English,female
39,Jackson,English,male
24,Charlotte,French,female
28,Avery,French,male
2,Emma,German,female
5,Mason,German,male
7,William,German,male
10,Ava,German,female
26,Ella,German,female
30,Amelia,German,female
36,Evelyn,German,female
46,Aubrey,German,female
4,Sophia,Greek,female
15,Alexander,Greek,male
22,Chloe,Greek,female
32,Zoey,Greek,female
43,Andrew,Greek,male
49,Christopher,Greek,male
1,Jacob,Hebrew,male
3,Noah,Hebrew,male
8,Isabella,Hebrew,female
11,Ethan,Hebrew,male
13,Michael,Hebrew,male
14,Mia,Hebrew,female
16,Abigail,Hebrew,female
17,Daniel,Hebrew,male
19,Jayden,Hebrew,male
20,Elizabeth,Hebrew,female
23,James,Hebrew,male
25,Elijah,Hebrew,male
27,Benjamin,Hebrew,male
29,Matthew,Hebrew,male
33,David,Hebrew,male
37,Joseph,Hebrew,male
41,Joshua,Hebrew,male
47,Gabriel,Hebrew,male
50,Hannah,Hebrew,female
9,Liam,Irish,male
21,Aiden,Irish,male
12,Emily,Latin,female
35,Anthony,Latin,male
40,Grace,Latin,female
42,Natalie,Latin,female
44,Lily,Latin,female
45,Lucas,Latin,male
48,Victoria,Latin,female
31,Logan,Scottish,male
