id,name,origin,gender
1,Jacob,Hebrew,male
2,Emma,German,female
3,Noah,Hebrew,male
4,Sophia,Greek,female
5,Mason,German,male
6,Olivia,English,female
7,William,German,male
8,Isabella,Hebrew,female
9,Liam,Irish,male
10,Ava,German,female
11,Ethan,Hebrew,male
12,Emily,Latin,female
13,Michael,Hebrew,male
14,Mia,Hebrew,female
15,Alexander,Greek,male
16,Abigail,Hebrew,female
17,Daniel,Hebrew,male
18,Madison,English,male
19,Jayden,Hebrew,male
20,Elizabeth,Hebrew,female
21,Aiden,Irish,male
22,Chloe,Greek,female
23,James,Hebrew,male
24,Charlotte,French,female
25,Elijah,Hebrew,male
26,Ella,German,female
27,Benjamin,Hebrew,male
28,Avery,French,male
29,Matthew,Hebrew,male
30,Amelia,German,female
31,Logan,Scottish,male
32,Zoey,Greek,female
33,David,Hebrew,male
34,Addison,English,female
35,Anthony,Latin,male
36,Evelyn,German,female
37,Joseph,Hebrew,male
38,Harper,English,female
39,Jackson,English,male
40,Grace,Latin,female
41,Joshua,Hebrew,male
42,Natalie,Latin,female
43,Andrew,Greek,male
44,Lily,Latin,female
45,Lucas,Latin,male
46,Aubrey,German,female
47,Gabriel,Hebrew,male
48,Victoria,Latin,female
49,Christopher,Greek,male
50,Hannah,Hebrew,female
