state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,lat,lng,population
Alabama,1001,Autauga County,19838,7503,27770,12335,0.714368023,0.270183651,0.444184372,32.5349,-86.6427,55380
Alabama,1003,Baldwin County,83544,24578,109679,58966,0.761713728,0.2240903,0.537623428,30.7275,-87.7226,212830
Alabama,1005,Barbour County,5622,4816,10518,806,0.534512265,0.457881727,0.076630538,31.8696,-85.3932,25361
Alabama,1007,Bibb County,7525,1986,9595,5539,0.784262637,0.206982804,0.577279833,32.9986,-87.1265,22493
Alabama,1009,Blount County,24711,2640,27588,22071,0.895715528,0.09569378,0.800021749,33.9809,-86.5674,57681
Alabama,1011,Bullock County,1146,3446,4613,-2300,0.248428355,0.747019293,-0.498590939,32.1005,-85.7157,10248
Alabama,1013,Butler County,5458,3965,9488,1493,0.575252951,0.41789629,0.157356661,31.7524,-86.6803,19828
Alabama,1015,Calhoun County,35101,15216,50983,19885,0.688484397,0.298452425,0.390031971,33.7714,-85.826,114618
Alabama,1017,Chambers County,8753,6365,15284,2388,0.572690395,0.416448574,0.156241822,32.9143,-85.392,33660
Alabama,1019,Cherokee County,10583,1624,12301,8959,0.860336558,0.132021787,0.728314771,34.1759,-85.6038,25903
Alabama,1021,Chilton County,16085,3073,19310,13012,0.832988089,0.159140342,0.673847747,32.8479,-86.7188,44055
Alabama,1023,Choctaw County,4296,3127,7464,1169,0.575562701,0.418944266,0.156618435,32.0198,-88.2632,12925
Alabama,1025,Clarke County,7324,5755,13135,1569,0.557594214,0.438142368,0.119451846,31.6767,-87.8308,24128
Alabama,1027,Clay County,5601,1267,6930,4334,0.808225108,0.182828283,0.625396825,33.269,-85.8606,13337
Alabama,1029,Cleburne County,6484,675,7227,5809,0.897191089,0.093399751,0.803791338,33.6745,-85.5188,14916
Alabama,1031,Coffee County,16899,5076,22275,11823,0.758653199,0.227878788,0.530774411,31.4027,-85.9882,51662
Alabama,1033,Colbert County,19203,8343,27886,10860,0.688625117,0.299182385,0.389442731,34.7005,-87.8049,54771
Alabama,1035,Conecuh County,3442,2966,6441,476,0.53438907,0.460487502,0.073901568,31.4292,-86.9937,12394
Alabama,1037,Coosa County,3631,1796,5479,1835,0.662712174,0.327797043,0.33491513,32.9362,-86.2477,10757
Alabama,1039,Covington County,14586,2721,17430,11865,0.836833046,0.156110155,0.680722892,31.2485,-86.4513,37200
