MVP1_count,MVP2_count,MVP3_count,MVP4_count,MVP5_count,MVP6_count,MVP7_count,all_entities_count,,MVP1_normalised,MVP2_normalised,MVP3_normalised,MVP4_normalised,MVP5_normalised,MVP6_normalised,MVP7_normalised,Total_count,Normalised_count,Country,region
0,0,2,0,0,0,0,118,,0,0,16.95,0,0,0,0,2,16.95,Nauru,APAC
2,0,3,0,0,0,0,124,,16.13,0,24.19,0,0,0,0,5,40.32,Sint Maarten,"Caribbean, Central and South America"
0,0,2,0,0,0,0,130,,0,0,15.38,0,0,0,0,2,15.38,Federated States of Micronesia,APAC
0,0,1,0,0,0,0,145,,0,0,6.9,0,0,0,0,1,6.9,Solomon Islands,APAC
2,0,3,0,0,0,0,163,,12.27,0,18.4,0,0,0,0,5,30.67,Tonga,APAC
2,0,12,0,0,0,0,174,,11.49,0,68.97,0,0,0,0,14,80.46,Grenada,"Caribbean, Central and South America"
0,0,3,0,0,0,0,225,,0,0,13.33,0,0,0,0,3,13.33,Eritrea,Africa
2,2,43,0,0,0,0,260,,7.69,7.69,165.38,0,0,0,0,47,180.76,Haiti,"Caribbean, Central and South America"
1,1,7,0,0,0,0,340,,2.94,2.94,20.59,0,0,0,0,9,26.47,Turkmenistan,APAC
1,0,2,0,0,0,0,413,,2.42,0,4.84,0,0,0,0,3,7.26,Kiribati,APAC
1,1,3,0,0,0,0,468,,2.14,2.14,6.41,0,0,0,0,5,10.69,Guinea Bissau,Africa
3,0,4,0,0,0,0,513,,5.85,0,7.8,0,0,0,0,7,13.65,Maldives,APAC
0,0,7,0,0,0,0,539,,0,0,12.99,0,0,0,0,7,12.99,Suriname,"Caribbean, Central and South America"
3,0,7,0,0,0,2,612,,4.9,0,11.44,0,0,0,3.27,12,19.61,Aruba,"Caribbean, Central and South America"
0,0,10,0,0,0,0,641,,0,0,15.6,0,0,0,0,10,15.6,Djibouti,Africa
2,0,7,0,0,0,0,698,,2.87,0,10.03,0,0,0,0,9,12.9,Chad,Africa
7,0,10,0,0,0,0,758,,9.23,0,13.19,0,0,0,0,17,22.42,Nicaragua,"Caribbean, Central and South America"
3,1,209,0,0,0,0,783,,3.83,1.28,266.92,0,0,0,0,213,272.03,Fiji,APAC
3,0,8,0,1,0,0,849,,3.53,0,9.42,0,1.18,0,0,12,14.13,Gambia,Africa
